"url_event","url_pdf","report_number","report_id","report_date","event_id","genotype_serotype_subtype","test_name_1","laboratory_name_1","first_result_date_1","latest_result_date_1","result_1","test_name_2","laboratory_name_2","first_result_date_2","latest_result_date_2","result_2","test_name_3","laboratory_name_3","first_result_date_3","latest_result_date_3","result_3","label_id","outbreak_reference","start_date_outbreak","end_date_outbreak","country_name","country_iso3_letter","country_iso3_digit","first_administrative_division","second_administrative_division","third_administrative_division","location","latitude","longitude","species","typology_of_animal","total_susceptible","total_cases","total_deaths","total_killed_and_disposed_of","total_slaughtered_killed_for_commercial_use","total_vaccinated","epidemiological_unit","detailed_characterisation","affected_population_description","control_measures","outcome"
"https://wahis.woah.org/#/in-event/4185/dashboard","https://github.com/fbranda/avian-ani/blob/main/avian-mamm-PDF-archives/WOAH-WAHIS%20reports%202023/IN_153005.pdf","IN","IN_153005",2021-12-17,4185,"H5N1","Real-time polymerase chain reaction (real-time PCR)","Estonian Veterinary and Food Laboratory (VFL)","44525","44525","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_94135 - KÄRDLA",NA,2021-11-08,2021-11-25,"Estonia","EST",233,"Hiiu","Kärdla","Kärdla","Kärdla",59.00422,"22.741613000000001","Red Fox","Wild",NA,1,1,NA,NA,NA,"Not applicable",NA,NA,"No control measure applied","death"
"https://wahis.woah.org/#/in-event/5037/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/Italy/%235037/FUR_162547%2316.pdf","FUR_16","FUR_162547",2023-08-30,5037,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","45028","45044","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_118021 - HPAIWB-2023-170 - VERONA","HPAIWB-2023-170",2023-04-03,NA,"Italy","ITA",380,"Veneto","Verona","Verona","Verona",45.52,"11.07","Red Fox","Wild",NA,1,1,NA,NA,NA,"Natural park",NA,"Animal with symptoms died shortly after discovery. HPAI H5N1 was detected in a Red fox (vulpes vulpes) found dead","Screening, Control of wildlife reservoirs","death"
"https://wahis.woah.org/#/in-event/5037/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/Italy/%235037/FUR_162547%2316.pdf","FUR_16","FUR_162547",2023-08-30,5037,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","45028","45044","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_118022 - HPAIWB-2023-171 - TRECENTA","HPAIWB-2023-171",2023-04-07,NA,"Italy","ITA",380,"Veneto","Rovigo","Trecenta","Trecenta",45.042,"11.462","Red Fox","Wild",NA,1,1,NA,NA,NA,"Natural park",NA,"HPAI H5N1 was detected in a Red Fox (vulpes vulpes) found dead","Screening, Control of wildlife reservoirs","death"
"https://wahis.woah.org/#/in-event/5037/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/Italy/%235037/FUR_162547%2316.pdf","FUR_16","FUR_162547",2023-08-30,5037,"H5N1","Virus neutralisation tests (Ab VNT)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","45028","45068","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_121754 - HPAIWB-2023-8 - CARPENEDOLO","HPAIWB-2023-8",2023-04-18,NA,"Italy","ITA",380,"Lombardia","Brescia","Carpenedolo","Carpenedolo",45.337184,"10.468970000000001","Dogs","Domestic",5,5,NA,NA,NA,NA,"Farm",NA,"The highly pathogenic avian influenza virus (HPAI), subtype H5N1 - has been detected in a backyard farm with domestic birds. These cases were notified in the event number 4953, outbreak ob_117586. In this backyard farm 5 dogs and 1 cat has been controlled and all of them resulted serologically positive for H5N1 on May 22, 2023. All the animals ware asymptomatic.","Quarantine, Surveillance within the restricted zone, Stamping out, Zoning, Official disposal of carcasses, by-products and waste, Disinfection","positive"
"https://wahis.woah.org/#/in-event/5037/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/Italy/%235037/FUR_162547%2316.pdf","FUR_16","FUR_162547",2023-08-30,5037,"H5N1","Virus neutralisation tests (Ab VNT)","National Reference and OIE/FAO Laboratory for avian influenza and Newcastle disease","45028","45068","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_121754 - HPAIWB-2023-8 - CARPENEDOLO","HPAIWB-2023-8",2023-04-18,NA,"Italy","ITA",380,"Lombardia","Brescia","Carpenedolo","Carpenedolo",45.337184,"10.468970000000001","Cats","Domestic",1,1,NA,NA,NA,NA,"Farm",NA,"The highly pathogenic avian influenza virus (HPAI), subtype H5N1 - has been detected in a backyard farm with domestic birds. These cases were notified in the event number 4953, outbreak ob_117586. In this backyard farm 5 dogs and 1 cat has been controlled and all of them resulted serologically positive for H5N1 on May 22, 2023. All the animals ware asymptomatic.","Quarantine, Surveillance within the restricted zone, Stamping out, Zoning, Official disposal of carcasses, by-products and waste, Disinfection","positive"
"https://wahis.woah.org/#/in-event/4636/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/Ireland/%234636/FUR_158358%234.pdf","FUR_4","FUR_158358",2022-12-20,4636,"H5N1","Gene sequencing","Central Veterinary Research Laboratory - DAFM","44838","44838","Inconclusive","Reverse transcriptionpolymerase chain reaction (RTPCR)","Central Veterinary Research Laboratory  DAFM",2022-09-28,2022-09-28,"Positive",NA,NA,NA,NA,NA,"OB_107239 - RATHANKAR",NA,2022-09-19,2022-12-20,"Ireland","IRL",372,"Cork",NA,NA,"Rathankar",51.86405,"-8.3615899999999996","Red Fox","Wild",NA,1,1,NA,NA,NA,"Not applicable",NA,"On 19th September 2022 a red fox exhibiting neurological signs was submitted to Cork Regional Veterinary Laboratory. On 28th September 2022 the Central Veterinary Research Laboratory confirmed the presence of Avian Influenza subtype H5N1 in samples taken from the fox. Pathogenicity results are pending.","No control measure applied","death"
"https://wahis.woah.org/#/in-event/4324/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/Ireland/%234324/FUR_154102%231.pdf","FUR_1","FUR_154102",2022-02-15,4324,"H5N1","Reverse transcription-polymerase chain reaction (RT-PCR)","Central Veterinary Research Laboratory","44602","44602","Positive","Gene sequencing","Central Veterinary Research Laboratory",2022-02-15,2022-02-15,"Positive",NA,NA,NA,NA,NA,"OB_97434 - BENDUFF",NA,2022-02-03,2022-02-15,"Ireland","IRL",372,"Donegal",NA,NA,"Benduff",55.27346,"-7.2487199999999996","Red Fox","Wild",NA,1,1,NA,NA,NA,"Not applicable",NA,"On 3rd February 2022 a barnacle goose and a fox found dead in a coastal location were submitted to Sligo Regional Veterinary Laboratory. The barnacle goose has been reported in the HPAI A H5N1 event from Ireland (evt_4049).","No control measure applied","death"
"https://wahis.woah.org/#/in-event/4941/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/France/%234941/IN_159596.pdf","IN","IN_159596",2023-03-06,4941,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","Groupement d’Intérêt Public Labocéa, Ploufragan, FRA","44977","44977","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_114866 - IA20230579 - CONGIS-SUR-THÉROUANNE (77126)","IA20230579",2023-02-10,2023-02-21,"France","FRA",250,"Île-de-France","Seine-et-Marne","Meaux","Congis-sur-Thérouanne (77126)",48.998396433,"2.9767878918999999","Red Fox","Wild",NA,1,1,NA,NA,NA,"Natural park","Clade: 2.3.4.4b - Lineage: Reassortment Eurasian and North American","Three foxes found dead in a nature reserve near deaths in gulls. One was collected and tested.","No control measure applied","death"
"https://wahis.woah.org/#/in-event/4807/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/France/%234807/IN_158454.pdf","IN","IN_158454",2022-12-28,4807,"H5N1","Real-time reverse transcription polymerase chain reaction (rRT-PCR)","Groupement d’Intérêt Public Labocéa, Ploufragan, FRA","-","44922","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_110977 - LNR-22-11802 - MAULÉON (79079)","LNR-22-11802",2022-12-20,2022-12-28,"France","FRA",250,"Nouvelle-Aquitaine","Deux-Sèvres","Bressuire","Mauléon (79079)",46.922312,"-0.68999505800000005","Cats","Domestic",NA,1,1,NA,NA,NA,"Other","Clade: 2.3.4.4b - Lineage: Reassortment Eurasian and North American",NA,"No control measure applied","death"
"https://wahis.woah.org/#/in-event/4395/dashboard","https://github.com/fbranda/avian-mamm/blob/main/WOAH-WAHIS%20reports/Japan/%234395/FUR_157193%232.pdf","FUR_2","FUR_157193",2022-09-27,4395,"H5N1","Reverse transcription-polymerase chain reaction (RT-PCR)","Hokkaido University, JPN","44655","44658","Positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OB_101445 - SAPPORO-CITY",NA,2022-03-31,2022-03-31,"Japan","JPN",392,"Hokkaido","Sapporo",NA,"Sapporo-City",43.0622,"141.35429999999999","Red Fox","Wild",NA,1,1,NA,NA,NA,"Not applicable",NA,NA,"Screening, Official disposal of carcasses, by-products and waste, Disinfection","death"
